paciente_endereco_nmMunicipio,paciente_endereco_uf,Qtd_Vacinas,Etiqueta_Classificacao
INDIAPORA,SP,3256,Alta Vacinação
TAQUARAL DE GOIAS,GO,17,Baixa Vacinação
TIMBAUBA,PE,1058,Alta Vacinação
PEDRO DE TOLEDO,SP,7313,Alta Vacinação
SERTANIA,PE,917,Alta Vacinação
MACUCO,RJ,2,Baixa Vacinação
COUTO MAGALHAES,TO,8,Baixa Vacinação
PRESIDENTE ALVES,SP,3032,Alta Vacinação
CAPETINGA,MG,922,Alta Vacinação
SANTO EXPEDITO,SP,1705,Alta Vacinação
BURITAMA,SP,9529,Alta Vacinação
CONTAGEM,MG,3062,Alta Vacinação
PONTE ALTA DO NORTE,SC,4,Baixa Vacinação
SEABRA,BA,2258,Alta Vacinação
SANTA RITA DO NOVO DESTINO,GO,5,Baixa Vacinação
SAO JOSE DA SAFIRA,MG,20,Baixa Vacinação
RIO DO PIRES,BA,1195,Alta Vacinação
RIO DOS INDIOS,RS,3,Baixa Vacinação
BOM JARDIM,PE,1381,Alta Vacinação
JESUPOLIS,GO,3,Baixa Vacinação
CAMARAGIBE,PE,1173,Alta Vacinação
RELVADO,RS,9,Baixa Vacinação
DOIS IRMAOS DAS MISSOES,RS,2,Baixa Vacinação
ALECRIM,RS,3,Baixa Vacinação
VALE DO PARAISO,RO,16,Baixa Vacinação
ITAICABA,CE,22,Baixa Vacinação
SANTA MARGARIDA DO SUL,RS,3,Baixa Vacinação
SANTA TEREZINHA DE GOIAS,GO,26,Baixa Vacinação
MONTES CLAROS,MG,4454,Alta Vacinação
DIVINO DE SAO LOURENCO,ES,11,Baixa Vacinação
IBIUNA,SP,48225,Alta Vacinação
GUAPIARA,SP,12160,Alta Vacinação
NOVA ERECHIM,SC,18,Baixa Vacinação
SAO JOSE,SC,1852,Alta Vacinação
BELA VISTA DO TOLDO,SC,3,Baixa Vacinação
SERRINHA,RN,25,Baixa Vacinação
ITURAMA,MG,1628,Alta Vacinação
JAGUARACU,MG,10,Baixa Vacinação
MANAIRA,PB,514,Alta Vacinação
ALFREDO VASCONCELOS,MG,18,Baixa Vacinação
ANAPOLIS,GO,1963,Alta Vacinação
MAMPITUBA,RS,1,Baixa Vacinação
PORTO ALEGRE,RS,8981,Alta Vacinação
JUNCO DO MARANHAO,MA,19,Baixa Vacinação
UNISTALDA,RS,1,Baixa Vacinação
RINOPOLIS,SP,5054,Alta Vacinação
REDENCAO DA SERRA,SP,2767,Alta Vacinação
BOA VIAGEM,CE,1214,Alta Vacinação
POCOES,BA,3169,Alta Vacinação
FERNANDO DE NORONHA,PE,9,Baixa Vacinação
MONTAURI,RS,2,Baixa Vacinação
VANINI,RS,7,Baixa Vacinação
CHIAPETTA,RS,6,Baixa Vacinação
JURU,PB,676,Alta Vacinação
FRUTAL,MG,2074,Alta Vacinação
MATRINCHA,GO,6,Baixa Vacinação
CAMPO FORMOSO,BA,1289,Alta Vacinação
JO�O CAIAFA,"",1,Baixa Vacinação
VITORIA DE SANTO ANTAO,PE,1104,Alta Vacinação
TARUMA,SP,8863,Alta Vacinação
PIRASSUNUNGA,SP,45934,Alta Vacinação
SAO GONCALO,RJ,2580,Alta Vacinação
CABEDELO,PB,502,Alta Vacinação
RONDOLANDIA,MT,6,Baixa Vacinação
RAMILANDIA,PR,20,Baixa Vacinação
ERICO CARDOSO,BA,748,Alta Vacinação
CAMPO ALEGRE,AL,901,Alta Vacinação
LUIS ANTONIO,SP,7904,Alta Vacinação
SANTA GERTRUDES,SP,13382,Alta Vacinação
BARRO,CE,590,Alta Vacinação
CAAPIRANGA,AM,20,Baixa Vacinação
FLOREAL,SP,2047,Alta Vacinação
PORTO ALEGRE DO TOCANTINS,TO,3,Baixa Vacinação
PESQUEIRA,PE,1211,Alta Vacinação
ITABERA,SP,12580,Alta Vacinação
IPIRANGA DE GOIAS,GO,8,Baixa Vacinação
SANTA TEREZA DO TOCANTINS,TO,2,Baixa Vacinação
RIO BRANCO,AC,2358,Alta Vacinação
CACHOEIRA PAULISTA,SP,18939,Alta Vacinação
HIDROLINA,GO,8,Baixa Vacinação
SAO LUIS DO PARAITINGA,SP,9054,Alta Vacinação
CACAPAVA,SP,62154,Alta Vacinação
ANGRA DOS REIS,RJ,1372,Alta Vacinação
PARECIS,RO,15,Baixa Vacinação
MONTE APRAZIVEL,SP,14627,Alta Vacinação
PORTEIRINHA,MG,797,Alta Vacinação
PAUINI,AM,2,Baixa Vacinação
BIRIGUI,SP,64160,Alta Vacinação
BRASILANDIA DO TOCANTINS,TO,7,Baixa Vacinação
MAIRIPORA,SP,49756,Alta Vacinação
MIGUELOPOLIS,SP,11735,Alta Vacinação
ITANHAEM,SP,54695,Alta Vacinação
PRESIDENTE PRUDENTE - SP,"",1,Baixa Vacinação
TUTOIA,MA,763,Alta Vacinação
PAIVA,MG,12,Baixa Vacinação
GUARDA-MOR,MG,19,Baixa Vacinação
ANALANDIA,SP,2889,Alta Vacinação
ARACUAI,MG,725,Alta Vacinação
MARAPOAMA,SP,2268,Alta Vacinação
LUZINOPOLIS,TO,9,Baixa Vacinação
SAO JOSE DO NORTE,RS,11,Baixa Vacinação
IBEMA,PR,20,Baixa Vacinação
DUQUE DE CAXIAS,RJ,2910,Alta Vacinação
ITAMBE,BA,669,Alta Vacinação
ADAMANTINA,SP,19585,Alta Vacinação
ITANHANDU,MG,723,Alta Vacinação
DAVINOPOLIS,GO,8,Baixa Vacinação
PAIAL,SC,2,Baixa Vacinação
REDUTO,MG,17,Baixa Vacinação
PORTO SEGURO,BA,3073,Alta Vacinação
COTIPORA,RS,6,Baixa Vacinação
BOCA DA MATA,AL,501,Alta Vacinação
PICARRA,PA,18,Baixa Vacinação
VIADUTOS,RS,4,Baixa Vacinação
BARCELONA,RN,6,Baixa Vacinação
FONTOURA XAVIER,RS,12,Baixa Vacinação
JARAGUA DO SUL,SC,1573,Alta Vacinação
JANAUBA,MG,823,Alta Vacinação
PACOTI,CE,7,Baixa Vacinação
THEOBROMA,RO,19,Baixa Vacinação
SAO PEDRO DO TURVO,SP,5743,Alta Vacinação
PEDRA BELA,SP,3592,Alta Vacinação
BARRA DO TURVO,SP,3584,Alta Vacinação
CORONEL JOAO SA,BA,615,Alta Vacinação
EUCLIDES DA CUNHA,BA,4029,Alta Vacinação
ELIAS FAUSTO,SP,12604,Alta Vacinação
PEREIRAS,SP,6824,Alta Vacinação
CACAULANDIA,RO,12,Baixa Vacinação
ITAPORA DO TOCANTINS,TO,1,Baixa Vacinação
ALTAMIRA,PA,523,Alta Vacinação
GUINE,"",2,Baixa Vacinação
CANSANCAO,BA,1784,Alta Vacinação
SEBERI,RS,14,Baixa Vacinação
SETE LAGOAS,MG,948,Alta Vacinação
PETROPOLIS,RJ,1657,Alta Vacinação
BEBEDOURO,SP,47995,Alta Vacinação
GUARARA,MG,20,Baixa Vacinação
CARNAUBA DOS DANTAS,RN,19,Baixa Vacinação
RUBINEIA,SP,3580,Alta Vacinação
MONTE ALEGRE DE GOIAS,GO,7,Baixa Vacinação
NOVO AIRAO,AM,14,Baixa Vacinação
BARRA MANSA,RJ,2148,Alta Vacinação
SALGADINHO,PB,8,Baixa Vacinação
JEQUITIBA,MG,10,Baixa Vacinação
VALENCA,RJ,572,Alta Vacinação
TROMBAS,GO,10,Baixa Vacinação
RIQUEZA,SC,23,Baixa Vacinação
ALFENAS,MG,2710,Alta Vacinação
VICENTE DUTRA,RS,6,Baixa Vacinação
TABOAO DA SERRA,SP,211781,Alta Vacinação
IRATI,SC,1,Baixa Vacinação
SOROCABA,SP,433706,Alta Vacinação
CAMPOS LINDOS,TO,18,Baixa Vacinação
TENENTE LAURENTINO CRUZ,RN,11,Baixa Vacinação
COXIXOLA,PB,25,Baixa Vacinação
CASTELO DO PIAUI,PI,1898,Alta Vacinação
SANTANA DOS GARROTES,PB,501,Alta Vacinação
CANDIDO RODRIGUES,SP,2117,Alta Vacinação
ARAUCARIA,PR,1704,Alta Vacinação
ESTIVA GERBI,SP,5315,Alta Vacinação
SAO LOURENCO,MG,1500,Alta Vacinação
NOVO TRIUNFO,BA,528,Alta Vacinação
MALLET,PR,16,Baixa Vacinação
GUATAMBU,SC,10,Baixa Vacinação
URUCURITUBA,AM,15,Baixa Vacinação
TAQUARITUBA,SP,19309,Alta Vacinação
SENADOR POMPEU,CE,608,Alta Vacinação
ISRAELANDIA,GO,11,Baixa Vacinação
CAREIRO DA VARZEA,AM,7,Baixa Vacinação
CRUZ,CE,770,Alta Vacinação
TACIBA,SP,3824,Alta Vacinação
CATUIPE,RS,12,Baixa Vacinação
MANAQUIRI,AM,9,Baixa Vacinação
RIO BRANCO DO IVAI,PR,19,Baixa Vacinação
TRIUNFO,PE,541,Alta Vacinação
SAO DOMINGOS DAS DORES - MG,"",2,Baixa Vacinação
PENAPOLIS,SP,34032,Alta Vacinação
LONDRES,"",2,Baixa Vacinação
IPERO,SP,14670,Alta Vacinação
QUELUZITO,MG,7,Baixa Vacinação
BAGRE,PA,8,Baixa Vacinação
ARAGUAIANA,MT,22,Baixa Vacinação
OLEO,SP,1465,Alta Vacinação
IGARACU DO TIET,"",1,Baixa Vacinação
JACAREACANGA,PA,5,Baixa Vacinação
SAO PAULO,None,2,Baixa Vacinação
FAXINAL DO SOTURNO,RS,17,Baixa Vacinação
ARIRANHA,SP,5989,Alta Vacinação
NARANDIBA,SP,4440,Alta Vacinação
SANTOS,SP,279222,Alta Vacinação
CAPAO DO CIPO,RS,3,Baixa Vacinação
RUY BARBOSA,BA,783,Alta Vacinação
SANTA ROSA DO TOCANTINS,TO,3,Baixa Vacinação
SAO JOAO DA BALIZA,RR,9,Baixa Vacinação
BARUERI,SP,201908,Alta Vacinação
NOVA AURORA,GO,7,Baixa Vacinação
CANINDE,CE,775,Alta Vacinação
TOBIAS BARRETO,SE,1445,Alta Vacinação
RESTINGA,SP,5360,Alta Vacinação
TURVO,SC,26,Baixa Vacinação
IBIRACI,MG,1552,Alta Vacinação
LAGOINHA,SP,4557,Alta Vacinação
SAO VICENTE,SP,216697,Alta Vacinação
ITARIRI,SP,8641,Alta Vacinação
MIGUEL ALVES,PI,737,Alta Vacinação
BURI,SP,13015,Alta Vacinação
NOVA ODESSA,SP,33288,Alta Vacinação
BOM RETIRO DO SUL,RS,16,Baixa Vacinação
LAGOA DA CANOA,AL,621,Alta Vacinação
SERTAO SANTANA,RS,3,Baixa Vacinação
DUMONT,SP,6984,Alta Vacinação
CUIABA,MT,4710,Alta Vacinação
BOM JESUS DO OESTE,SC,6,Baixa Vacinação
SANTO ANTONIO DA PLATINA,PR,802,Alta Vacinação
FELIPE GUERRA,RN,24,Baixa Vacinação
ESPUMOSO,RS,23,Baixa Vacinação
SEGREDO,RS,2,Baixa Vacinação
CAXAMBU DO SUL,SC,6,Baixa Vacinação
CAIEIRAS,SP,64042,Alta Vacinação
CIDREIRA,RS,14,Baixa Vacinação
TERESINA DE GOIAS,GO,9,Baixa Vacinação
SAO CRISTOVAO DO SUL,SC,2,Baixa Vacinação
AJURICABA,RS,7,Baixa Vacinação
ALVARES FLORENCE,SP,3467,Alta Vacinação
SOLANEA,PB,1540,Alta Vacinação
JATOBA DO PAU�,"",1,Baixa Vacinação
LAGOA DE VELHOS,RN,15,Baixa Vacinação
SAO MARTINHO,RS,4,Baixa Vacinação
TRES FRONTEIRAS,SP,3626,Alta Vacinação
JOAO PESSOA,PB,7829,Alta Vacinação
CRAIBAS,AL,641,Alta Vacinação
JOAO RAMALHO,SP,2654,Alta Vacinação
BARROS CASSAL,RS,7,Baixa Vacinação
ANTONIO PRADO DE MINAS,MG,6,Baixa Vacinação
TIBAU,RN,10,Baixa Vacinação
ILHA COMPRIDA,SP,11810,Alta Vacinação
PRATINHA,MG,13,Baixa Vacinação
SANTA FE DO ARAGUAIA,TO,25,Baixa Vacinação
CHARQUEADA,SP,10409,Alta Vacinação
NOVA CRUZ,RN,648,Alta Vacinação
VALE DE SAO DOMINGOS,MT,10,Baixa Vacinação
TOLEDO,PR,1349,Alta Vacinação
MAURITI,CE,1098,Alta Vacinação
GUARIBA,SP,22426,Alta Vacinação
BORBA,AM,21,Baixa Vacinação
BREJO GRANDE DO ARAGUAIA,PA,11,Baixa Vacinação
BOCA DO ACRE,AM,20,Baixa Vacinação
IBITIARA,BA,1096,Alta Vacinação
LEME,SP,61521,Alta Vacinação
CARAPICUIBA,SP,253581,Alta Vacinação
PIQUETE,SP,8345,Alta Vacinação
ARANDU,SP,4770,Alta Vacinação
ANADIA,AL,597,Alta Vacinação
SANTO ANDRE,SP,526322,Alta Vacinação
CARAA,RS,7,Baixa Vacinação
GUARULHOS,SP,896987,Alta Vacinação
NOVA ANDRADINA,MS,1291,Alta Vacinação
ARACARIGUAMA,SP,11780,Alta Vacinação
IGACI,AL,1209,Alta Vacinação
PEDRAS ALTAS,RS,1,Baixa Vacinação
SAO GONCALO DO RIO PRETO,MG,25,Baixa Vacinação
LA PAZ,"",1,Baixa Vacinação
GAMELEIRA DE GOIAS,GO,8,Baixa Vacinação
SANTA ROSA DE GOIAS,GO,6,Baixa Vacinação
ANHUMAS,SP,2901,Alta Vacinação
LEBON REGIS,SC,8,Baixa Vacinação
MAIRI,BA,831,Alta Vacinação
FEIRA DE SANTANA,BA,3956,Alta Vacinação
AGUA BRANCA,AL,902,Alta Vacinação
SEVERINIA,SP,9353,Alta Vacinação
PAULISTANIA,SP,1314,Alta Vacinação
DESCOBERTO,MG,22,Baixa Vacinação
GUARARAPES,SP,19504,Alta Vacinação
CONGONHAS DO NORTE,MG,21,Baixa Vacinação
JOINVILLE,SC,5315,Alta Vacinação
CANABRAVA DO NORTE,MT,12,Baixa Vacinação
PRESIDENTE CASTELLO BRANCO,SC,4,Baixa Vacinação
CARIRI DO TOCANTINS,TO,15,Baixa Vacinação
BELEM,PA,8394,Alta Vacinação
CUMARI,GO,8,Baixa Vacinação
ARAPOEMA,TO,24,Baixa Vacinação
SANTIAGO DO SUL,SC,9,Baixa Vacinação
PRACUUBA,AP,1,Baixa Vacinação
BELO JARDIM,PE,1094,Alta Vacinação
SILVANOPOLIS,TO,12,Baixa Vacinação
ENTRE RIOS,BA,978,Alta Vacinação
JUREMA,PE,1144,Alta Vacinação
PALMARES DO SUL,RS,23,Baixa Vacinação
LIMEIRA,SP,165843,Alta Vacinação
CASA NOVA,BA,906,Alta Vacinação
MATOES,MA,571,Alta Vacinação
DOLCINOPOLIS,SP,1570,Alta Vacinação
MARICA,RJ,501,Alta Vacinação
MORRO REUTER,RS,8,Baixa Vacinação
VARGEM BONITA,SC,10,Baixa Vacinação
BERILO,MG,1123,Alta Vacinação
TAIO,SC,22,Baixa Vacinação
PALMEIROPOLIS,TO,8,Baixa Vacinação
ITATIRA,CE,526,Alta Vacinação
PLANALTO ALEGRE,SC,4,Baixa Vacinação
TERRA ROXA - SP,"",1,Baixa Vacinação
ESPIRITO SANTO DO PINHAL,SP,23389,Alta Vacinação
None,None,1338,Alta Vacinação
CABO DE SANTO AGOSTINHO,PE,1763,Alta Vacinação
NOVO ALEGRE,TO,11,Baixa Vacinação
BENJAMIN CONSTANT DO SUL,RS,2,Baixa Vacinação
MERCEDES,PR,23,Baixa Vacinação
BOM JESUS DO NORTE,ES,18,Baixa Vacinação
SAO JOSE DO BELMONTE,PE,821,Alta Vacinação
PASSA SETE,RS,1,Baixa Vacinação
SAO BERNARDINO,SC,18,Baixa Vacinação
PORTO ESTRELA,MT,15,Baixa Vacinação
BUTIA,RS,20,Baixa Vacinação
BARRA BONITA,SC,16,Baixa Vacinação
IGUAPE,SP,19399,Alta Vacinação
ORLANDIA,SP,22590,Alta Vacinação
AVEIRO,PA,6,Baixa Vacinação
SAO JOSE DO VALE DO RIO PRETO,RJ,25,Baixa Vacinação
MELEIRO,SC,7,Baixa Vacinação
CASEARA,TO,14,Baixa Vacinação
SAO BENTO DO NORTE,RN,14,Baixa Vacinação
CASTANHEIRAS,RO,12,Baixa Vacinação
NOVO ACORDO,TO,4,Baixa Vacinação
BARRACAO,RS,6,Baixa Vacinação
CATIGUA,SP,5414,Alta Vacinação
TIMBIRAS,MA,557,Alta Vacinação
ITAPIRA,SP,45579,Alta Vacinação
MARIALVA,PR,586,Alta Vacinação
NOVA OLINDA,PB,584,Alta Vacinação
CARMOLANDIA,TO,6,Baixa Vacinação
JENIPAPO DE MINAS,MG,568,Alta Vacinação
POA,SP,74827,Alta Vacinação
PRESIDENTE VENCESLAU,SP,22210,Alta Vacinação
PARAGUAI,"",1,Baixa Vacinação
MAIRIPOTABA,GO,7,Baixa Vacinação
ARUJA,SP,68211,Alta Vacinação
SALES,SP,3063,Alta Vacinação
PACAEMBU,SP,7095,Alta Vacinação
CATARINA,CE,518,Alta Vacinação
AURILANDIA,GO,15,Baixa Vacinação
GETULINA,SP,6642,Alta Vacinação
BARCELOS,AM,10,Baixa Vacinação
JARDINOPOLIS,SP,26677,Alta Vacinação
SANTA CECILIA DO SUL,RS,1,Baixa Vacinação
ANDRADINA - SP,"",1,Baixa Vacinação
PATROCINIO PAULISTA,SP,7846,Alta Vacinação
TAGUAI,SP,9398,Alta Vacinação
BARRO ALTO,BA,677,Alta Vacinação
SAO CARLOS,SP,168899,Alta Vacinação
UNIAO DO OESTE,SC,8,Baixa Vacinação
SAGRADA FAMILIA,RS,4,Baixa Vacinação
BRACO DO TROMBUDO,SC,15,Baixa Vacinação
VIDAL RAMOS,SC,17,Baixa Vacinação
SURUBIM,PE,1032,Alta Vacinação
CAMPINORTE,GO,24,Baixa Vacinação
JITAUNA,BA,766,Alta Vacinação
BRUSQUE,SC,1283,Alta Vacinação
CASTANHAL,PA,775,Alta Vacinação
BREJO SANTO,CE,954,Alta Vacinação
MONTE DO CARMO,TO,10,Baixa Vacinação
PARAPUA,SP,7814,Alta Vacinação
CAPELA NOVA,MG,16,Baixa Vacinação
SAO JOSE DO CALCADO,ES,23,Baixa Vacinação
CACIMBA DE DENTRO,PB,939,Alta Vacinação
ALTO FELIZ,RS,10,Baixa Vacinação
CANDIDO GODOI,RS,4,Baixa Vacinação
GENERAL CAMARA,RS,11,Baixa Vacinação
AMARGOSA,BA,617,Alta Vacinação
TELHA,SE,21,Baixa Vacinação
SINIMBU,RS,7,Baixa Vacinação
CATURAI,GO,13,Baixa Vacinação
NOVA ARACA,RS,23,Baixa Vacinação
JANDAIRA,RN,15,Baixa Vacinação
PENEDO,AL,1201,Alta Vacinação
MANCIO LIMA,AC,19,Baixa Vacinação
RIBEIRAO DAS NEVES,MG,968,Alta Vacinação
PAULINIA,SP,67314,Alta Vacinação
SANTA BARBARA D'OESTE,SP,106260,Alta Vacinação
CIANORTE,PR,1640,Alta Vacinação
CERRO BRANCO,RS,1,Baixa Vacinação
LORENA,SP,52046,Alta Vacinação
CAMPO MAIOR,PI,844,Alta Vacinação
VILA MARIA,RS,6,Baixa Vacinação
IPIRANGA DO SUL,RS,1,Baixa Vacinação
VARZEA PAULISTA,SP,59979,Alta Vacinação
CANTAGALO,PR,17,Baixa Vacinação
ITAARA,RS,12,Baixa Vacinação
TOROPI,RS,1,Baixa Vacinação
CANELINHA,SC,26,Baixa Vacinação
UNA,BA,772,Alta Vacinação
ESPIGAO ALTO DO IGUACU,PR,20,Baixa Vacinação
VICOSA DO CEARA,CE,638,Alta Vacinação
JECEABA,MG,20,Baixa Vacinação
ROLANDIA,PR,1006,Alta Vacinação
SAO GONCALO DO SAPUCAI,MG,603,Alta Vacinação
PARIPIRANGA,BA,720,Alta Vacinação
IBIACA,RS,3,Baixa Vacinação
MARACAS,BA,963,Alta Vacinação
MOIPORA,GO,4,Baixa Vacinação
PORTO ALEGRE DO PIAUI,PI,21,Baixa Vacinação
BANANEIRAS,PB,810,Alta Vacinação
MOGI GUACU,SP,87058,Alta Vacinação
SALGUEIRO,PE,622,Alta Vacinação
ITAPIRATINS,TO,4,Baixa Vacinação
SAO PEDRO,SP,24121,Alta Vacinação
SALMOURAO,SP,2801,Alta Vacinação
NOVA UNIAO,RO,16,Baixa Vacinação
TIMBO GRANDE,SC,1,Baixa Vacinação
ITAJU,SP,2035,Alta Vacinação
campinas,None,2,Baixa Vacinação
UBERLANDIA,MG,8550,Alta Vacinação
VISTA ALEGRE DO PRATA,RS,1,Baixa Vacinação
APARECIDA DO RIO NEGRO,TO,14,Baixa Vacinação
CORURIPE,AL,1084,Alta Vacinação
PONTAO,RS,4,Baixa Vacinação
BANANAL,SP,4869,Alta Vacinação
MIRACATU,SP,11576,Alta Vacinação
CASTANHEIRA,MT,25,Baixa Vacinação
SENADOR GUIOMARD,AC,26,Baixa Vacinação
SAO JOAO DO SUL,SC,8,Baixa Vacinação
SANTANA DE PARNAIBA,SP,87606,Alta Vacinação
MOTUCA,SP,2644,Alta Vacinação
VOTORANTIM,SP,76172,Alta Vacinação
PIRACEMA,MG,16,Baixa Vacinação
SANTA ALBERTINA,SP,4773,Alta Vacinação
CURRALINHO,PA,16,Baixa Vacinação
JAGUARIUNA,SP,40877,Alta Vacinação
NOVA AMERICA,GO,7,Baixa Vacinação
MATAO,SP,50875,Alta Vacinação
TOMBOS,MG,20,Baixa Vacinação
UNIAO PAULISTA,SP,1157,Alta Vacinação
ARAPIRACA,AL,4774,Alta Vacinação
MATA GRANDE,AL,1321,Alta Vacinação
BARIRI,SP,17721,Alta Vacinação
LAPAO,BA,534,Alta Vacinação
CASTRO ALVES,BA,524,Alta Vacinação
PIRIPA,BA,1265,Alta Vacinação
BORA,SP,602,Alta Vacinação
ITAJOBI,SP,9111,Alta Vacinação
RIBEIRAOZINHO,MT,9,Baixa Vacinação
RERIUTABA,CE,26,Baixa Vacinação
OEIRAS DO PARA,PA,14,Baixa Vacinação
PORANGABA,SP,9343,Alta Vacinação
PILAR DE GOIAS,GO,2,Baixa Vacinação
MARIANA PIMENTEL,RS,5,Baixa Vacinação
PALMINOPOLIS,GO,17,Baixa Vacinação
QUIXABA,PB,22,Baixa Vacinação
TRES PALMEIRAS,RS,18,Baixa Vacinação
BOA NOVA,BA,1325,Alta Vacinação
ITAPIRAPUA,GO,9,Baixa Vacinação
VARGEM,SC,5,Baixa Vacinação
MONTE SANTO DE MINAS,MG,1651,Alta Vacinação
MINAS NOVAS,MG,1660,Alta Vacinação
ARATIBA,RS,17,Baixa Vacinação
TAPERA,RS,11,Baixa Vacinação
SALTO,SP,71572,Alta Vacinação
CACONDE,SP,9329,Alta Vacinação
MINEIROS,GO,511,Alta Vacinação
ERNESTINA,RS,3,Baixa Vacinação
SANTO ANTONIO DO ARACANGUA,SP,4993,Alta Vacinação
ITAU DE MINAS,MG,719,Alta Vacinação
PILAR DO SUL,SP,20142,Alta Vacinação
SAO JOSE DOS PINHAIS,PR,2353,Alta Vacinação
ARROIO TRINTA,SC,8,Baixa Vacinação
ENTRE RIOS,SC,8,Baixa Vacinação
ARTUR NOGUEIRA,SP,27206,Alta Vacinação
MOJUI DOS CAMPOS,PA,14,Baixa Vacinação
SAO GERALDO DO BAIXIO,MG,17,Baixa Vacinação
CHAPADA DA NATIVIDADE,TO,6,Baixa Vacinação
OLARIA,MG,12,Baixa Vacinação
CAPAO BONITO,SP,34862,Alta Vacinação
MORADA NOVA DE MINAS,MG,15,Baixa Vacinação
TERRA ROXA,SP,5822,Alta Vacinação
PARAZINHO,RN,7,Baixa Vacinação
PEDRO II,PI,2702,Alta Vacinação
RIO DO OESTE,SC,20,Baixa Vacinação
SANTOPOLIS DO AGUAPEI,SP,3278,Alta Vacinação
NOVA CANAA,BA,723,Alta Vacinação
CAPITÃO BADO,"",1,Baixa Vacinação
DUAS ESTRADAS,PB,7,Baixa Vacinação
RIBEIRAO PRETO - SP,None,1,Baixa Vacinação
ARUJA - SP,None,1,Baixa Vacinação
DIADEMA,SP,333153,Alta Vacinação
TANHACU,BA,761,Alta Vacinação
PIRIPIRI,PI,2228,Alta Vacinação
BATATAIS,SP,44688,Alta Vacinação
MURICILANDIA,TO,6,Baixa Vacinação
CATURAMA,BA,662,Alta Vacinação
LACERDOPOLIS,SC,7,Baixa Vacinação
NOVA HARTZ,RS,20,Baixa Vacinação
TUPANATINGA,PE,1093,Alta Vacinação
SANTA ISABEL,SP,40626,Alta Vacinação
SANTA HELENA,SC,12,Baixa Vacinação
SANTA MARIA DO HERVAL,RS,6,Baixa Vacinação
PORTO VERA CRUZ,RS,3,Baixa Vacinação
UBATUBA,SP,47271,Alta Vacinação
CAJAZEIRAS,PB,1098,Alta Vacinação
GUAIMBE,SP,4249,Alta Vacinação
IBIPORA,PR,611,Alta Vacinação
MARINGA,PR,9322,Alta Vacinação
RESENDE,RJ,3493,Alta Vacinação
ESTRELA DALVA,MG,8,Baixa Vacinação
SANTA RITA DO PASSA QUATRO,SP,17440,Alta Vacinação
ARROIO DO PADRE,RS,2,Baixa Vacinação
SAO RAIMUNDO NONATO,PI,588,Alta Vacinação
PRESIDENTE LUCENA,RS,3,Baixa Vacinação
CAPELA DO ALTO,SP,10312,Alta Vacinação
HELIOPOLIS,BA,740,Alta Vacinação
ILHA SOLTEIRA,SP,21602,Alta Vacinação
BOM CONSELHO,PE,1343,Alta Vacinação
BELTERRA,PA,15,Baixa Vacinação
MONTEIRO,PB,1098,Alta Vacinação
JUMIRIM,SP,2352,Alta Vacinação
DOURADOQUARA,MG,9,Baixa Vacinação
MARECHAL DEODORO,AL,632,Alta Vacinação
SAO JOAQUIM DA BARRA,SP,35126,Alta Vacinação
AMAJARI,RR,14,Baixa Vacinação
PRESIDENTE KENNEDY,ES,18,Baixa Vacinação
COMBINADO,TO,12,Baixa Vacinação
SAO PEDRO DAS MISSOES,RS,4,Baixa Vacinação
SALTO DE PIRAPORA,SP,24825,Alta Vacinação
MESSIAS TARGINO,RN,3,Baixa Vacinação
PIRAPO,RS,2,Baixa Vacinação
GUATAPARA,SP,5854,Alta Vacinação
MUNIZ FREIRE,ES,21,Baixa Vacinação
RIO LARGO,AL,1089,Alta Vacinação
COSTA RICA,MS,548,Alta Vacinação
PLANALTO,SP,3517,Alta Vacinação
LIMOEIRO DO AJURU,PA,9,Baixa Vacinação
PINHEIRO PRETO,SC,7,Baixa Vacinação
PRINCESA ISABEL,PB,933,Alta Vacinação
ESTRANGEIRO,XX,1,Baixa Vacinação
CAMPO NOVO DE RONDONIA,RO,23,Baixa Vacinação
RODEIO BONITO,RS,14,Baixa Vacinação
SALTO DEL GUAIRA/PY,"",1,Baixa Vacinação
CAFELANDIA,SP,11881,Alta Vacinação
AGUDOS,SP,20281,Alta Vacinação
IBIPITANGA,BA,1497,Alta Vacinação
CASTILHO,SP,11852,Alta Vacinação
SOBRADINHO,RS,18,Baixa Vacinação
venezuela,None,1,Baixa Vacinação
INHAUMA,MG,20,Baixa Vacinação
OEIRAS,PI,1883,Alta Vacinação
ANGELINA,SC,11,Baixa Vacinação
PILAR,AL,677,Alta Vacinação
LAVRAS,MG,1737,Alta Vacinação
GUARUJA,SP,187587,Alta Vacinação
CAMPO NOVO,RS,9,Baixa Vacinação
SANTA ROSA DO PURUS,AC,4,Baixa Vacinação
CANAVIEIRAS,BA,658,Alta Vacinação
UARINI,AM,18,Baixa Vacinação
ARARIPINA,PE,987,Alta Vacinação
SANTA CRUZ DA ESPERANCA,SP,1586,Alta Vacinação
JACUTINGA,RS,8,Baixa Vacinação
JUAREZ TAVORA,PB,13,Baixa Vacinação
CASSIA,MG,1267,Alta Vacinação
SENHOR DO BONFIM,BA,1432,Alta Vacinação
PIUMHI,MG,722,Alta Vacinação
SAO JOAO DA URTIGA,RS,1,Baixa Vacinação
COLONIA LEOPOLDINA,AL,557,Alta Vacinação
BARBOSA,SP,3303,Alta Vacinação
AMERICANO DO BRASIL,GO,19,Baixa Vacinação
