paciente_endereco_nmMunicipio,paciente_endereco_uf,Qtd_Vacinas,Etiqueta_Classificacao
PACARAIMA,RR,1814,Alta Vacinação
TATUI - SP,"",1,Baixa Vacinação
GOVERNADOR VALADARES,MG,1990,Alta Vacinação
CAMPOS NOVOS PAULISTA,SP,2610,Alta Vacinação
GOIATINS,TO,15,Baixa Vacinação
ITACAJA,TO,10,Baixa Vacinação
FAGUNDES VARELA,RS,2,Baixa Vacinação
JUQUIA,SP,12018,Alta Vacinação
NOVA ALIANCA,SP,4949,Alta Vacinação
JARDIM,SP,1,Baixa Vacinação
ALFREDO MARCONDES,SP,3613,Alta Vacinação
SANTA MARIA,RN,25,Baixa Vacinação
IBIRATAIA,BA,1092,Alta Vacinação
SAO JOSE DO OURO,RS,7,Baixa Vacinação
NHANDEARA,SP,6291,Alta Vacinação
CAMPOS BORGES,RS,2,Baixa Vacinação
PORTO FELIZ,SP,29195,Alta Vacinação
PRACINHA,SP,1729,Alta Vacinação
ARTUR NOGUEIRA,"",1,Baixa Vacinação
LAURENTINO,SC,9,Baixa Vacinação
SAO JOAO DO PAU D'ALHO,SP,1269,Alta Vacinação
BOCAINA,SP,7125,Alta Vacinação
SEVERIANO DE ALMEIDA,RS,6,Baixa Vacinação
INHAPI,AL,1023,Alta Vacinação
CANUDOS,BA,693,Alta Vacinação
POTIRENDABA,SP,11472,Alta Vacinação
PARECI NOVO,RS,3,Baixa Vacinação
PALMITINHO,RS,18,Baixa Vacinação
CORONEL PACHECO,MG,5,Baixa Vacinação
CLARAVAL,MG,545,Alta Vacinação
INHACORA,RS,4,Baixa Vacinação
SANTA ROSA DE VITERBO,SP,16349,Alta Vacinação
IBOTIRAMA,BA,624,Alta Vacinação
FEIRA GRANDE,AL,724,Alta Vacinação
IACANGA,SP,8245,Alta Vacinação
ITACARE,BA,567,Alta Vacinação
SENADOR CANEDO,GO,725,Alta Vacinação
PINHAL DE SAO BENTO,PR,7,Baixa Vacinação
TREMEMBE,SP,26722,Alta Vacinação
BOA VISTA DO TUPIM,BA,668,Alta Vacinação
MIRANDOPOLIS,SP,14444,Alta Vacinação
VILA FLORES,RS,11,Baixa Vacinação
ALTAIR,SP,2340,Alta Vacinação
ITAPUA DO OESTE,RO,22,Baixa Vacinação
PIMENTEIRAS DO OESTE,RO,19,Baixa Vacinação
POPULINA,SP,3073,Alta Vacinação
SAO FRANCISCO DO BREJAO,MA,26,Baixa Vacinação
APUI,AM,24,Baixa Vacinação
CERQUEIRA CESAR,SP,13899,Alta Vacinação
LINDOIA DO SUL,SC,14,Baixa Vacinação
carvillino,"",1,Baixa Vacinação
BOGOTA,"",1,Baixa Vacinação
IGARACU DO TIETE - SP,"",1,Baixa Vacinação
BOM SUCESSO DE ITARARE,SP,3003,Alta Vacinação
CURITIBA,PR,20502,Alta Vacinação
PALMARES,PE,1261,Alta Vacinação
NATALANDIA,MG,9,Baixa Vacinação
TESOURO,MT,13,Baixa Vacinação
AVAI,SP,3782,Alta Vacinação
NAVEGANTES,SC,757,Alta Vacinação
SIMPLICIO MENDES,PI,549,Alta Vacinação
BOCAINA DO SUL,SC,6,Baixa Vacinação
VALPARAISO,SP,13974,Alta Vacinação
BALSAMO,SP,7015,Alta Vacinação
MORRO AGUDO DE GOIAS,GO,9,Baixa Vacinação
SIMAO DIAS,SE,742,Alta Vacinação
MORRO DA GARCA,MG,14,Baixa Vacinação
ITAPIPOCA,CE,1280,Alta Vacinação
CABIXI,RO,21,Baixa Vacinação
TAPIRATIBA,SP,9488,Alta Vacinação
SALVADOR DAS MISSOES,RS,2,Baixa Vacinação
SANTANA DO RIACHO,MG,7,Baixa Vacinação
IPAUSSU,SP,8198,Alta Vacinação
DIAMANTE D'OESTE,PR,15,Baixa Vacinação
APIUNA,SC,17,Baixa Vacinação
CAJUEIRO,AL,654,Alta Vacinação
GRAMADO XAVIER,RS,1,Baixa Vacinação
PRESIDENTE KUBITSCHEK,MG,16,Baixa Vacinação
GUAPE,MG,528,Alta Vacinação
NOVA CASTILHO,SP,1077,Alta Vacinação
DARIO MEIRA,BA,940,Alta Vacinação
LAJEDO,PE,917,Alta Vacinação
"","",150314,Alta Vacinação
IBITIRAMA,ES,11,Baixa Vacinação
BARRA DO GARCAS,MT,502,Alta Vacinação
BARRA DO GUARITA,RS,5,Baixa Vacinação
CACHOEIRINHA,TO,3,Baixa Vacinação
MANDURI,SP,6887,Alta Vacinação
PUTINGA,RS,5,Baixa Vacinação
SERRA NOVA DOURADA,MT,10,Baixa Vacinação
UBERABA,MG,7187,Alta Vacinação
RIO NEGRO,MS,16,Baixa Vacinação
CAJAMAR,SP,53770,Alta Vacinação
PIRAPORA DO BOM JESUS,SP,10810,Alta Vacinação
IGARATA,SP,7625,Alta Vacinação
AURORA,SC,11,Baixa Vacinação
CAIABU,SP,2361,Alta Vacinação
CACIQUE DOBLE,RS,2,Baixa Vacinação
CHACARA,MG,11,Baixa Vacinação
SETE DE SETEMBRO,RS,1,Baixa Vacinação
MACAPA,AP,1530,Alta Vacinação
PORANGA,CE,742,Alta Vacinação
DILERMANDO DE AGUIAR,RS,1,Baixa Vacinação
PARNAMIRIM,RN,2367,Alta Vacinação
NAZARIA,PI,16,Baixa Vacinação
ALAMBARI,SP,3926,Alta Vacinação
CHUPINGUAIA,RO,23,Baixa Vacinação
ITAPECERICA DA SERRA,SP,99856,Alta Vacinação
AMPARO DE SAO FRANCISCO,SE,18,Baixa Vacinação
GUARAPARI,ES,716,Alta Vacinação
SANTANA DO SERIDO,RN,17,Baixa Vacinação
SANTO ANTONIO DO PINHAL,SP,4637,Alta Vacinação
CAMPOS DOS GOYTACAZES,RJ,1048,Alta Vacinação
BOM JESUS DO SUL,PR,21,Baixa Vacinação
SAO FELIX DO TOCANTINS,TO,2,Baixa Vacinação
GUAREI,SP,7159,Alta Vacinação
SAO DOMINGOS DO AZEITAO,MA,22,Baixa Vacinação
SAO FRANCISCO DO PARA,PA,22,Baixa Vacinação
SAO SEBASTIAO DO UATUMA,AM,9,Baixa Vacinação
FAZENDA RIO GRANDE,PR,771,Alta Vacinação
ARCO-IRIS,SP,1639,Alta Vacinação
SANTA RITA,PB,704,Alta Vacinação
BURITI DE GOIAS,GO,9,Baixa Vacinação
PORTO BARREIRO,PR,11,Baixa Vacinação
PALMAS,TO,2375,Alta Vacinação
ARROIO GRANDE,RS,14,Baixa Vacinação
SUCUPIRA,TO,12,Baixa Vacinação
